,Theta/Phi,Loss,Accuracy
0,0.0,0.0,99.75
1,0.0,0.02564102564102564,99.75
2,0.0,0.05128205128205128,99.75
3,0.0,0.07692307692307693,99.75
4,0.0,0.10256410256410256,99.625
5,0.0,0.1282051282051282,99.25
6,0.0,0.15384615384615385,99.125
7,0.0,0.1794871794871795,98.875
8,0.0,0.20512820512820512,98.5
9,0.0,0.23076923076923075,97.875
10,0.0,0.2564102564102564,97.125
11,0.0,0.28205128205128205,96.75
12,0.0,0.3076923076923077,95.75
13,0.0,0.3333333333333333,94.75
14,0.0,0.358974358974359,94.125
15,0.0,0.3846153846153846,93.875
16,0.0,0.41025641025641024,93.0
17,0.0,0.4358974358974359,92.25
18,0.0,0.4615384615384615,91.25
19,0.0,0.48717948717948717,90.875
20,0.0,0.5128205128205128,89.875
21,0.0,0.5384615384615384,88.875
22,0.0,0.5641025641025641,88.25
23,0.0,0.5897435897435898,86.875
24,0.0,0.6153846153846154,85.625
25,0.0,0.641025641025641,84.0
26,0.0,0.6666666666666666,82.5
27,0.0,0.6923076923076923,80.625
28,0.0,0.717948717948718,79.125
29,0.0,0.7435897435897436,77.75
30,0.0,0.7692307692307692,75.875
31,0.0,0.7948717948717948,74.75
32,0.0,0.8205128205128205,73.75
33,0.0,0.8461538461538461,72.5
34,0.0,0.8717948717948718,71.75
35,0.0,0.8974358974358974,70.875
36,0.0,0.923076923076923,69.0
37,0.0,0.9487179487179487,67.125
38,0.0,0.9743589743589743,64.875
39,0.0,1.0,62.875
40,0.02564102564102564,0.0,99.4125
41,0.02564102564102564,0.02564102564102564,99.5075
42,0.02564102564102564,0.05128205128205128,99.51
43,0.02564102564102564,0.07692307692307693,99.365
44,0.02564102564102564,0.10256410256410256,99.255
45,0.02564102564102564,0.1282051282051282,99.075
46,0.02564102564102564,0.15384615384615385,98.875
47,0.02564102564102564,0.1794871794871795,98.43
48,0.02564102564102564,0.20512820512820512,97.695
49,0.02564102564102564,0.23076923076923075,97.5075
50,0.02564102564102564,0.2564102564102564,96.9375
51,0.02564102564102564,0.28205128205128205,96.2275
52,0.02564102564102564,0.3076923076923077,95.5
53,0.02564102564102564,0.3333333333333333,94.9225
54,0.02564102564102564,0.358974358974359,94.14
55,0.02564102564102564,0.3846153846153846,93.3975
56,0.02564102564102564,0.41025641025641024,92.6175
57,0.02564102564102564,0.4358974358974359,91.7275
58,0.02564102564102564,0.4615384615384615,91.52
