,Theta,Phi,Accuracy
0,0.0,0.0,99.75
1,0.0,0.02564102564102564,99.37
2,0.0,0.05128205128205128,98.62
3,0.0,0.07692307692307693,97.19
4,0.0,0.10256410256410256,94.4075
5,0.0,0.1282051282051282,91.06
6,0.0,0.15384615384615385,87.06
7,0.0,0.1794871794871795,83.695
8,0.0,0.20512820512820512,75.3
9,0.0,0.23076923076923075,70.9775
10,0.0,0.2564102564102564,65.005
11,0.0,0.28205128205128205,64.765
12,0.0,0.3076923076923077,54.1575
13,0.0,0.3333333333333333,53.785
14,0.0,0.358974358974359,44.355
15,0.0,0.3846153846153846,46.2675
16,0.0,0.41025641025641024,37.9875
17,0.0,0.4358974358974359,38.3775
18,0.0,0.4615384615384615,32.4025
19,0.0,0.48717948717948717,32.8675
20,0.0,0.5128205128205128,30.735
21,0.0,0.5384615384615384,26.02
22,0.0,0.5641025641025641,25.3525
23,0.0,0.5897435897435898,25.1775
24,0.0,0.6153846153846154,21.7575
25,0.0,0.641025641025641,19.78
26,0.0,0.6666666666666666,21.215
27,0.0,0.6923076923076923,18.8425
28,0.0,0.717948717948718,18.72
29,0.0,0.7435897435897436,18.3275
30,0.0,0.7692307692307692,16.1725
31,0.0,0.7948717948717948,15.065
32,0.0,0.8205128205128205,16.9575
33,0.0,0.8461538461538461,14.5025
34,0.0,0.8717948717948718,13.8625
35,0.0,0.8974358974358974,14.6125
36,0.0,0.923076923076923,14.3025
37,0.0,0.9487179487179487,11.98
38,0.0,0.9743589743589743,12.9225
39,0.0,1.0,12.5175
40,0.02564102564102564,0.0,99.715
41,0.02564102564102564,0.02564102564102564,99.4375
42,0.02564102564102564,0.05128205128205128,98.615
43,0.02564102564102564,0.07692307692307693,97.1025
44,0.02564102564102564,0.10256410256410256,94.7475
45,0.02564102564102564,0.1282051282051282,91.355
46,0.02564102564102564,0.15384615384615385,86.69
47,0.02564102564102564,0.1794871794871795,83.3575
48,0.02564102564102564,0.20512820512820512,77.7975
49,0.02564102564102564,0.23076923076923075,73.0425
50,0.02564102564102564,0.2564102564102564,66.3925
51,0.02564102564102564,0.28205128205128205,58.615
52,0.02564102564102564,0.3076923076923077,55.6425
53,0.02564102564102564,0.3333333333333333,50.6325
54,0.02564102564102564,0.358974358974359,45.415
55,0.02564102564102564,0.3846153846153846,43.62
56,0.02564102564102564,0.41025641025641024,41.2625
57,0.02564102564102564,0.4358974358974359,33.9975
58,0.02564102564102564,0.4615384615384615,33.6525
59,0.02564102564102564,0.48717948717948717,29.495
60,0.02564102564102564,0.5128205128205128,29.57
61,0.02564102564102564,0.5384615384615384,25.465
62,0.02564102564102564,0.5641025641025641,24.42
63,0.02564102564102564,0.5897435897435898,21.6
64,0.02564102564102564,0.6153846153846154,25.3025
65,0.02564102564102564,0.641025641025641,20.115
66,0.02564102564102564,0.6666666666666666,18.6975
67,0.02564102564102564,0.6923076923076923,19.3375
68,0.02564102564102564,0.717948717948718,17.0575
69,0.02564102564102564,0.7435897435897436,16.4725
70,0.02564102564102564,0.7692307692307692,14.565
71,0.02564102564102564,0.7948717948717948,16.205
72,0.02564102564102564,0.8205128205128205,13.6325
73,0.02564102564102564,0.8461538461538461,15.695
74,0.02564102564102564,0.8717948717948718,15.09
75,0.02564102564102564,0.8974358974358974,14.98
76,0.02564102564102564,0.923076923076923,13.1625
77,0.02564102564102564,0.9487179487179487,13.53
78,0.02564102564102564,0.9743589743589743,10.91
79,0.02564102564102564,1.0,11.6425
80,0.05128205128205128,0.0,99.6525
81,0.05128205128205128,0.02564102564102564,99.425
82,0.05128205128205128,0.05128205128205128,98.805
83,0.05128205128205128,0.07692307692307693,97.255
84,0.05128205128205128,0.10256410256410256,93.6075
85,0.05128205128205128,0.1282051282051282,92.01
86,0.05128205128205128,0.15384615384615385,86.5375
87,0.05128205128205128,0.1794871794871795,85.0175
88,0.05128205128205128,0.20512820512820512,75.025
89,0.05128205128205128,0.23076923076923075,68.235
90,0.05128205128205128,0.2564102564102564,64.0
91,0.05128205128205128,0.28205128205128205,61.065
92,0.05128205128205128,0.3076923076923077,55.035
93,0.05128205128205128,0.3333333333333333,50.445
94,0.05128205128205128,0.358974358974359,46.5575
95,0.05128205128205128,0.3846153846153846,40.685
96,0.05128205128205128,0.41025641025641024,39.74
97,0.05128205128205128,0.4358974358974359,36.64
98,0.05128205128205128,0.4615384615384615,32.1475
99,0.05128205128205128,0.48717948717948717,30.8775
100,0.05128205128205128,0.5128205128205128,31.39
101,0.05128205128205128,0.5384615384615384,24.5325
102,0.05128205128205128,0.5641025641025641,24.4775
103,0.05128205128205128,0.5897435897435898,23.155
104,0.05128205128205128,0.6153846153846154,20.9225
105,0.05128205128205128,0.641025641025641,18.5625
106,0.05128205128205128,0.6666666666666666,20.02
107,0.05128205128205128,0.6923076923076923,17.6925
108,0.05128205128205128,0.717948717948718,17.855
109,0.05128205128205128,0.7435897435897436,17.1875
110,0.05128205128205128,0.7692307692307692,16.59
111,0.05128205128205128,0.7948717948717948,15.355
112,0.05128205128205128,0.8205128205128205,13.1525
113,0.05128205128205128,0.8461538461538461,14.1375
114,0.05128205128205128,0.8717948717948718,14.485
115,0.05128205128205128,0.8974358974358974,14.1875
116,0.05128205128205128,0.923076923076923,12.715
117,0.05128205128205128,0.9487179487179487,13.745
118,0.05128205128205128,0.9743589743589743,12.5825
119,0.05128205128205128,1.0,10.755
120,0.07692307692307693,0.0,99.5925
121,0.07692307692307693,0.02564102564102564,99.365
122,0.07692307692307693,0.05128205128205128,98.5025
123,0.07692307692307693,0.07692307692307693,96.9075
124,0.07692307692307693,0.10256410256410256,94.68
125,0.07692307692307693,0.1282051282051282,91.335
126,0.07692307692307693,0.15384615384615385,86.42
127,0.07692307692307693,0.1794871794871795,83.055
128,0.07692307692307693,0.20512820512820512,78.1125
129,0.07692307692307693,0.23076923076923075,68.76
130,0.07692307692307693,0.2564102564102564,65.65
131,0.07692307692307693,0.28205128205128205,59.145
132,0.07692307692307693,0.3076923076923077,57.5025
133,0.07692307692307693,0.3333333333333333,51.935
134,0.07692307692307693,0.358974358974359,46.3075
135,0.07692307692307693,0.3846153846153846,41.0225
136,0.07692307692307693,0.41025641025641024,39.5725
137,0.07692307692307693,0.4358974358974359,35.0475
138,0.07692307692307693,0.4615384615384615,34.975
139,0.07692307692307693,0.48717948717948717,31.5625
140,0.07692307692307693,0.5128205128205128,26.8475
141,0.07692307692307693,0.5384615384615384,28.13
142,0.07692307692307693,0.5641025641025641,24.1175
143,0.07692307692307693,0.5897435897435898,22.4075
144,0.07692307692307693,0.6153846153846154,19.27
145,0.07692307692307693,0.641025641025641,20.485
146,0.07692307692307693,0.6666666666666666,17.26
147,0.07692307692307693,0.6923076923076923,19.12
148,0.07692307692307693,0.717948717948718,18.5325
149,0.07692307692307693,0.7435897435897436,16.3775
150,0.07692307692307693,0.7692307692307692,16.8425
151,0.07692307692307693,0.7948717948717948,17.235
152,0.07692307692307693,0.8205128205128205,13.525
153,0.07692307692307693,0.8461538461538461,16.065
154,0.07692307692307693,0.8717948717948718,13.7125
155,0.07692307692307693,0.8974358974358974,13.8875
156,0.07692307692307693,0.923076923076923,13.555
157,0.07692307692307693,0.9487179487179487,13.04
158,0.07692307692307693,0.9743589743589743,12.295
159,0.07692307692307693,1.0,12.2025
160,0.10256410256410256,0.0,99.4325
161,0.10256410256410256,0.02564102564102564,99.1825
162,0.10256410256410256,0.05128205128205128,98.275
163,0.10256410256410256,0.07692307692307693,96.9025
164,0.10256410256410256,0.10256410256410256,93.3725
165,0.10256410256410256,0.1282051282051282,90.13
166,0.10256410256410256,0.15384615384615385,86.835
167,0.10256410256410256,0.1794871794871795,82.6575
168,0.10256410256410256,0.20512820512820512,72.9225
169,0.10256410256410256,0.23076923076923075,71.095
170,0.10256410256410256,0.2564102564102564,61.73
171,0.10256410256410256,0.28205128205128205,54.405
172,0.10256410256410256,0.3076923076923077,51.42
173,0.10256410256410256,0.3333333333333333,48.8375
174,0.10256410256410256,0.358974358974359,44.0225
175,0.10256410256410256,0.3846153846153846,42.47
176,0.10256410256410256,0.41025641025641024,37.61
177,0.10256410256410256,0.4358974358974359,38.515
178,0.10256410256410256,0.4615384615384615,34.8725
179,0.10256410256410256,0.48717948717948717,31.315
180,0.10256410256410256,0.5128205128205128,29.1975
181,0.10256410256410256,0.5384615384615384,23.8675
182,0.10256410256410256,0.5641025641025641,24.9825
183,0.10256410256410256,0.5897435897435898,25.1025
184,0.10256410256410256,0.6153846153846154,20.7825
185,0.10256410256410256,0.641025641025641,19.0275
186,0.10256410256410256,0.6666666666666666,20.125
187,0.10256410256410256,0.6923076923076923,18.3075
188,0.10256410256410256,0.717948717948718,18.995
189,0.10256410256410256,0.7435897435897436,14.6075
190,0.10256410256410256,0.7692307692307692,15.3175
191,0.10256410256410256,0.7948717948717948,15.67
192,0.10256410256410256,0.8205128205128205,15.25
193,0.10256410256410256,0.8461538461538461,14.3975
194,0.10256410256410256,0.8717948717948718,13.9225
195,0.10256410256410256,0.8974358974358974,12.2575
196,0.10256410256410256,0.923076923076923,13.4375
197,0.10256410256410256,0.9487179487179487,11.955
198,0.10256410256410256,0.9743589743589743,11.5925
199,0.10256410256410256,1.0,11.7475
200,0.1282051282051282,0.0,99.005
201,0.1282051282051282,0.02564102564102564,98.68
202,0.1282051282051282,0.05128205128205128,97.73
203,0.1282051282051282,0.07692307692307693,96.355
204,0.1282051282051282,0.10256410256410256,93.85
205,0.1282051282051282,0.1282051282051282,90.0575
206,0.1282051282051282,0.15384615384615385,85.16
207,0.1282051282051282,0.1794871794871795,79.6625
208,0.1282051282051282,0.20512820512820512,72.3075
209,0.1282051282051282,0.23076923076923075,69.4975
210,0.1282051282051282,0.2564102564102564,62.5225
211,0.1282051282051282,0.28205128205128205,57.4725
212,0.1282051282051282,0.3076923076923077,54.195
213,0.1282051282051282,0.3333333333333333,50.3875
