0.3496-0.5736j, 0.5282-0.5194j, -0.0001-0.0004j, -0.0000+0.0001j, 0.0000+0.0002j, 0.0000+0.0002j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 
0.5572-0.4865j, -0.5976+0.3046j, 0.0316-0.0388j, 0.0053+0.0208j, 0.0013-0.0008j, -0.0014+0.0007j, -0.0002+0.0001j, -0.0001+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 
0.0039-0.0403j, -0.0120+0.0343j, 0.0688+0.9085j, -0.3432-0.2160j, -0.0073+0.0154j, 0.0093-0.0404j, 0.0049-0.0172j, 0.0016-0.0051j, 0.0005-0.0050j, -0.0000+0.0001j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 
-0.0010+0.0002j, 0.0010+0.0000j, 0.2246-0.1330j, 0.0502-0.5265j, 0.3014-0.0542j, 0.4039-0.0931j, 0.4826-0.0610j, 0.2794-0.0387j, 0.2291-0.0487j, 0.1197-0.0186j, -0.0287+0.0010j, -0.0031+0.0001j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 
-0.0000-0.0000j, -0.0001+0.0003j, -0.0689-0.0656j, -0.2519+0.0418j, 0.1039+0.2195j, 0.2768+0.5199j, -0.0475-0.1112j, -0.0299-0.0703j, -0.0854-0.1699j, -0.1413-0.3079j, -0.1227-0.2700j, 0.1566+0.3507j, -0.0051-0.0106j, 0.1456+0.3027j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 
0.0002+0.0000j, -0.0002-0.0001j, -0.0152-0.0075j, -0.0415+0.0298j, -0.2338-0.0509j, 0.1117+0.0340j, -0.3501-0.0387j, 0.6979+0.1136j, -0.0858-0.0041j, 0.3526+0.0646j, -0.0522-0.0074j, 0.3592+0.0480j, 0.0063+0.0033j, -0.1745-0.0422j, 0.0015-0.0001j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 
0.0000-0.0001j, 0.0001+0.0000j, -0.0039+0.1564j, 0.2799+0.2209j, 0.0572-0.1391j, 0.0339-0.0749j, -0.0344+0.0506j, 0.0383-0.0812j, 0.1470-0.3341j, 0.1857-0.4478j, -0.1072+0.2631j, -0.1657+0.4204j, -0.0072+0.0128j, 0.1241-0.3721j, -0.0003+0.0023j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 
0.0000+0.0000j, -0.0000-0.0000j, -0.1484-0.0467j, -0.3015+0.2169j, -0.1661-0.1586j, -0.1444-0.1019j, 0.3682+0.3175j, 0.1289+0.1271j, 0.4219+0.3320j, -0.2123-0.1603j, -0.0034-0.0189j, 0.2666+0.2316j, -0.0091-0.0059j, -0.0200-0.0010j, 0.0035-0.0016j, 0.0040-0.0006j, 0.0000+0.0000j, 0.0000+0.0000j, 
0.0000+0.0000j, 0.0002+0.0002j, -0.1552+0.0968j, -0.0370+0.4200j, 0.4405-0.0788j, 0.2555-0.0463j, 0.0571-0.0403j, 0.0250+0.0083j, -0.0274+0.0111j, 0.0729+0.0055j, 0.4383-0.0700j, -0.1112+0.0133j, 0.0190-0.0025j, -0.5377+0.1015j, 0.0014-0.0006j, 0.0002-0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 
0.0000+0.0000j, 0.0000+0.0000j, -0.0091+0.0666j, 0.0857+0.0739j, 0.1945-0.2377j, -0.2235+0.3043j, 0.2171-0.2937j, 0.1272-0.1546j, -0.2749+0.4038j, 0.0362-0.0868j, -0.1718+0.2232j, 0.0307-0.0310j, -0.2651+0.3663j, 0.0144-0.0077j, -0.0883-0.0849j, -0.0175-0.1528j, 0.0157+0.0041j, 0.0000+0.0000j, 
0.0000+0.0000j, 0.0000+0.0000j, -0.0515+0.0232j, -0.0371+0.1570j, -0.2598-0.0289j, 0.0849+0.0044j, 0.4340+0.0285j, 0.1257+0.0160j, -0.4783-0.0068j, 0.0963+0.0032j, 0.1016+0.0105j, -0.1524+0.0109j, 0.5624+0.0334j, 0.1962+0.0029j, -0.0328+0.1519j, -0.1508+0.1225j, -0.0058-0.0184j, 0.0000+0.0000j, 
0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0658+0.0152j, 0.0004+0.5259j, -0.0204-0.4068j, -0.0217-0.2306j, 0.0295+0.3803j, 0.0229+0.0833j, -0.0068-0.3299j, 0.0095+0.1088j, 0.0076-0.0149j, 0.0302+0.4051j, 0.0087+0.2308j, -0.0548+0.0016j, -0.0491-0.0388j, 0.0089-0.0041j, -0.0006+0.0009j, 
0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0297-0.0199j, 0.1993+0.1875j, -0.1613-0.1373j, 0.0306+0.0318j, -0.2874-0.2785j, 0.0445+0.0397j, 0.3662+0.3386j, -0.0930-0.0930j, 0.3968+0.3685j, 0.1818+0.1745j, -0.0508-0.0391j, -0.1399+0.1088j, -0.2338-0.0031j, 0.0058-0.0168j, -0.0005-0.0020j, 
0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, -0.0006-0.0011j, 0.0005+0.0009j, 0.0064+0.0059j, -0.0268-0.0530j, 0.0052+0.0216j, -0.0246-0.0600j, -0.1684-0.5077j, -0.0327-0.0921j, 0.1641+0.4592j, -0.1400-0.3828j, 0.3041-0.0705j, 0.3878+0.2062j, -0.0266+0.0301j, -0.0016+0.0081j, 
0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, -0.0319-0.0070j, 0.0860+0.0190j, 0.0175+0.0029j, -0.2230-0.0352j, -0.4629-0.1018j, -0.2220-0.0445j, -0.1011-0.0201j, -0.3664-0.0663j, -0.1544+0.3961j, -0.4812+0.3191j, -0.0095-0.0192j, -0.0064-0.0056j, 
0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, -0.0001-0.0001j, -0.0030-0.0049j, -0.0100-0.0219j, -0.0036-0.0080j, -0.0134+0.0053j, -0.0084-0.0148j, 0.2492+0.5288j, 0.1305-0.3994j, 0.4765-0.5035j, 0.0018-0.0006j, 
0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, -0.0002+0.0000j, 0.0015-0.0002j, -0.0099-0.0058j, -0.0021+0.0001j, -0.5100+0.2154j, 0.4158+0.0632j, -0.5373-0.4769j, -0.0011+0.0198j, 
0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, 0.0000+0.0000j, -0.0040+0.0022j, -0.0001+0.0001j, -0.0025-0.0050j, -0.0041+0.0174j, 0.0075-0.0106j, 0.9995+0.0232j, 

