,Losses,Training Accuracy,Validation Accuracy
0,0.3398921825503911,76.28125,76.375
1,0.277197046761936,80.21875,78.625
2,0.2658513164200509,83.53125,81.375
3,0.2597780772255899,90.0625,87.875
4,0.25313011406114405,81.28125,79.5
5,0.24595045999950468,83.875,82.25
6,0.23800802783404593,88.9375,86.875
7,0.23055306057089647,88.3125,86.625
8,0.2240136780814064,86.09375,84.875
9,0.21942881193919128,81.75,81.25
10,0.217421464909774,89.46875,87.75
11,0.21599537686053563,87.6875,86.125
12,0.21492235402287446,89.5,88.625
13,0.2138505006189129,89.96875,88.625
14,0.21220286174655736,88.1875,86.125
15,0.21100319150560076,89.875,87.375
16,0.20992664582827358,91.0,89.375
17,0.20860387921910248,88.46875,87.0
18,0.2071318140480071,90.21875,88.875
19,0.20570451661196054,90.0,88.5
20,0.20542305733646304,89.59375,88.125
21,0.20487261385423922,87.71875,86.0
22,0.20471191291687674,91.125,90.125
23,0.20414959214005662,92.75,91.75
24,0.203832774696274,88.9375,87.0
25,0.20313461142176806,92.625,91.125
26,0.20288506460647987,92.78125,91.625
27,0.20200441068355815,92.03125,90.625
28,0.2009014040450715,95.71875,94.625
29,0.20012031992562151,96.75,96.375
30,0.19878727333329263,97.71875,97.625
31,0.19750560567071343,98.03125,97.375
32,0.19590822590522003,97.5625,96.875
33,0.19416898506704425,94.75,94.0
34,0.19273722695737372,98.625,99.25
35,0.19145251132363575,97.40625,97.375
36,0.19075881637205888,98.9375,98.0
37,0.1901927343245692,99.03125,99.5
38,0.18999719281876884,99.0625,99.125
39,0.1904213621786276,98.625,98.0
40,0.18964078322247727,98.84375,98.875
41,0.18920048194268332,96.9375,96.625
42,0.18933823531718486,99.25,99.125
43,0.18941515657087118,98.71875,98.625
44,0.18939542444289845,97.6875,97.875
45,0.18960673775693834,97.0,96.875
46,0.18949414033472758,98.9375,99.375
47,0.18943785091893228,98.0625,98.0
48,0.1895637741248425,97.125,96.875
49,0.18933599986738908,97.125,97.0
50,0.18940953486458845,97.375,97.375
51,0.18935043290031486,99.40625,99.75
52,0.18934761849373352,99.125,99.5
53,0.1893779994908429,98.21875,98.0
54,0.18924371122728925,98.9375,98.875
55,0.18941431681055262,97.375,97.25
56,0.18905900196702652,98.53125,98.625
57,0.18935620673084316,98.40625,98.375
58,0.1893619724591395,98.875,98.875
59,0.18910219627487976,98.78125,99.125
60,0.18898815544173916,99.28125,98.875
61,0.189039367391274,97.03125,97.375
62,0.18927652809598697,97.375,97.5
63,0.18932717042653727,97.71875,97.875
64,0.18922978080926472,98.8125,98.5
65,0.18908275909327735,98.9375,99.25
66,0.1888952359689478,98.375,98.875
67,0.18907895419481435,98.96875,99.25
68,0.18892818442262377,98.625,98.25
69,0.1891046454546748,96.96875,96.75
70,0.18905112232305982,99.3125,99.625
71,0.18879361604602118,96.84375,96.375
72,0.18906062736407367,98.59375,99.25
73,0.18912410462213047,97.71875,97.875
74,0.1891814915122489,98.3125,99.125
75,0.18899731689129112,97.65625,97.25
76,0.18913482958807368,96.625,95.625
77,0.18898394467752097,98.8125,98.625
78,0.18897269871296188,98.875,98.5
79,0.18886950813310296,97.71875,97.375
80,0.18872994330037807,98.15625,97.875
81,0.18892362052945114,98.46875,98.375
82,0.1891867827830713,97.65625,97.5
83,0.1891230222601839,97.53125,96.625
84,0.18890465732906087,98.53125,98.625
85,0.18899691889443682,98.0,98.125
86,0.18884707349535051,99.375,99.625
87,0.1890457486241714,95.78125,95.0
88,0.1888238552816784,96.25,95.875
89,0.1891454213851873,96.3125,95.25
90,0.18879289138654848,98.5,99.125
91,0.18917139853656287,98.28125,98.25
92,0.1889279823355078,97.53125,97.75
93,0.18883136214238147,97.78125,97.375
94,0.18903704371844923,97.9375,97.875
95,0.189214297862539,98.53125,98.625
96,0.18909926671347985,97.5625,97.875
97,0.18917393898736415,95.09375,94.5
98,0.18879114812273254,98.59375,98.5
99,0.1887554477517089,98.6875,98.75
100,0.188953656831905,98.65625,99.25
101,0.18897610209518084,95.9375,95.5
102,0.18881424138657293,99.15625,99.125
103,0.1889781464148138,98.1875,98.0
104,0.18880216883801457,98.0625,98.625
105,0.1891061853541923,97.65625,97.875
106,0.189039137523395,96.9375,96.625
107,0.1890911430327237,97.6875,97.75
108,0.18898566759166766,98.0625,98.375
109,0.18875873219005862,98.8125,98.375
110,0.18881881523570754,96.8125,97.0
111,0.18892314514453923,98.75,98.375
112,0.18927182371589166,98.3125,98.25
113,0.1891668874662697,97.9375,97.875
114,0.1892170107503204,97.84375,98.0
115,0.1893533747914507,97.71875,98.125
116,0.18887699069447106,98.03125,98.0
117,0.18877952455150054,96.9375,95.75
118,0.18868715260410934,96.9375,95.75
119,0.18900733342277132,98.96875,99.5
120,0.1891685396280166,98.84375,98.625
121,0.18915983604839756,98.34375,98.375
122,0.18921448699918034,96.84375,96.375
123,0.18909311007931343,98.6875,98.75
124,0.18897986470241282,96.5,96.125
125,0.1888892189735508,98.84375,99.0
126,0.18885446395266745,96.21875,95.875
127,0.18887545669200198,98.0625,97.875
128,0.1889621889320589,96.34375,95.125
129,0.18879487870863035,99.0625,99.5
130,0.18909694841267957,97.875,97.875
131,0.1890467527781943,97.0625,97.125
132,0.18892857823921708,98.3125,98.125
133,0.1890470113667901,97.3125,97.125
134,0.1889625866345967,99.03125,99.625
135,0.1888178049500387,98.40625,99.0
136,0.18901724275157808,98.9375,99.0
137,0.18892954807523313,97.1875,96.625
138,0.18878463916925356,98.84375,99.375
139,0.1883818245705066,97.09375,96.375
140,0.18901131714371935,98.59375,99.125
141,0.18902147829646668,97.75,97.5
142,0.1888842335587179,98.84375,98.75
143,0.18901813986936677,98.46875,98.75
144,0.1889023258525771,97.21875,97.75
145,0.18872145655437086,98.84375,98.25
146,0.18911101271806607,98.25,98.125
147,0.18890470037554796,98.4375,98.125
148,0.1887011527483331,98.71875,98.625
149,0.18892631205976562,99.09375,99.0
150,0.1886771807980807,99.15625,98.875
151,0.18901531354482518,97.3125,97.0
152,0.18910635559879319,98.125,98.25
153,0.18865864734719973,98.53125,97.875
154,0.1890424620864511,97.03125,96.875
155,0.18859283440664254,99.25,99.375
156,0.18882454269617088,96.1875,95.5
157,0.18906607718147395,98.78125,98.75
158,0.188956233061779,97.34375,97.25
159,0.1888620578340573,98.65625,98.25
160,0.18892422406669693,99.09375,99.375
161,0.18884536966437526,98.59375,99.0
162,0.1891590714327194,96.8125,96.75
163,0.18878510134768844,96.46875,95.125
164,0.18875373181196103,95.90625,95.25
165,0.18910514933843806,98.0,98.0
166,0.18913471031724516,99.53125,99.625
167,0.1888309509787881,98.5,98.5
168,0.18885909671823728,98.3125,98.25
169,0.1888236578039555,97.96875,97.875
170,0.18887706589105016,99.21875,99.25
171,0.1890142772102868,97.96875,98.25
172,0.18875726759532646,98.625,98.75
173,0.18876700217709919,98.0,98.375
174,0.18903934052997606,97.5625,97.5
175,0.188984607770512,97.125,97.0
176,0.18927203392801914,95.125,95.125
177,0.18873240199158428,97.09375,96.875
178,0.1886819443571064,98.0,98.75
179,0.18876192413231038,98.4375,98.25
180,0.18894633624903634,97.09375,96.625
181,0.18837472345881656,98.03125,97.5
182,0.188917042332226,97.78125,98.125
183,0.18888059337661417,98.15625,98.125
184,0.1889228615421011,98.75,99.25
185,0.18894848983821647,98.21875,98.125
186,0.18880194944850973,96.96875,96.75
187,0.18871625410372247,97.9375,98.375
188,0.18865398386395169,98.65625,98.25
189,0.18852628328180046,97.6875,97.25
190,0.1887383458041785,98.40625,98.5
191,0.1889090533513267,95.625,95.125
192,0.18872623919924084,96.78125,96.25
193,0.1885206888441434,96.46875,95.25
194,0.18872392829025134,99.09375,99.125
195,0.1882461190370356,97.625,97.5
